OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,CCTXTCLS,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_CD,CONTYDOT,AADT_2024,NOLANES_Total,MAXSPEED_Max,IsSignalized,IsInterchange,CountermeasureAbbv,CountermeasureName,CountermeasureID,CountermeasureType,LocationID,LocationStatus,CrashModificationFactor,CostScenario,CostEstimate,TotalLivesSaved,Crash_Saved_A,Crash_Saved_B,Crash_Saved_C,Crash_Saved_O,Benefit_All,Benefit_KA,CostPerLifeSaved,CrashSavings,Crash_Saved_All,CostBenefitRatio,PresentValueBenefit,PresentValueCost,NetPresentValue,CountermeasureGroup,Interchange Indicator,FDOT Managing District,FDOT County Code,Intersecting Roadway Id Milepoints,Intersecting Road Names,Entering Vehicle Daily Traffic,Avg Annual Daily Traffic - Major,Avg Annual Daily Traffic - Minor,Crash Intersection Category,Signalized Indicator,Countermeasure Service Life,Serious Injuries Saved,Intersection Status Type,ROADWAY_ORIG,BEGIN_POST_ORIG,END_POST_ORIG,LRS_SOURCE_ROW,LRS_PARENT_ID,LRS_SUB_ID,LOCATION,LRS_ROAD_NAME
53713,123316,60040000,9.299,9.318999999999999,SUBURBAN COMMERCIAL,,RURAL PRIN ART OTHER,DIVIDED,US  331,SR   83,3,WALTON,30000,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-00828,Potential Location,0.850000024,1,11458.042365,0,0.00249829422863272,0.00499658845726544,0.00499658845726544,0.0391399429152459,11633.3320585705,,0,0.516314140584095,0.0516314140584095,8.23497949195228,94356.7438936954,11458.042365,92924.4885980704,,N,3,60,60040000 = 9.309|60A04390 = .227,MARQUIS WAY|US-331,12500,25000,,IS|R|2|D,Y,10,0.166552975223991,On-System / Off-System,60040000,9.306,9.351,1,SGNLBK-00828,1,9.309,MARQUIS WAY
53713,123316,60A04390,0.217,0.23700000000000002,SUBURBAN COMMERCIAL,,RURAL PRIN ART OTHER,DIVIDED,US  331,SR   83,3,WALTON,30000,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-00828,Potential Location,0.850000024,1,11458.042365,0,0.00249829422863272,0.00499658845726544,0.00499658845726544,0.0391399429152459,11633.3320585705,,0,0.516314140584095,0.0516314140584095,8.23497949195228,94356.7438936954,11458.042365,92924.4885980704,,N,3,60,60040000 = 9.309|60A04390 = .227,MARQUIS WAY|US-331,12500,25000,,IS|R|2|D,Y,10,0.166552975223991,On-System / Off-System,60040000,9.306,9.351,1,SGNLBK-00828,2,0.227,US-331
61816,120009,58005100,0,0.018000000000000002,SUBURBAN COMMERCIAL,PENSACOLA,URBAN MINOR ART,DIVIDED,US   90,SR   10,3,SANTA ROSA,39500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02748,Potential Location,0.850000024,1,15754.808251875,0,0.00154547217288186,0.00309094434576373,0.00309094434576373,0.0242123973751492,6436.72365874351,,0,0.319397582395585,0.0319397582395585,3.31375627820568,52207.5947565774,15754.808251875,50775.3394609524,,N,3,58,58005100 = .008|58010000 = 9.306,AVALON BLVD|US-90|WORLEY BLVD,44000,35000,21500,IS|R|2|D,Y,10,0.103031494677163,On-System / On-System,58010000,9.304,9.315,2,SGNLBK-02748,1,0.008,AVALON BLVD
61816,120009,58010000,9.296,9.315999999999999,SUBURBAN COMMERCIAL,PENSACOLA,URBAN MINOR ART,DIVIDED,US   90,SR   10,3,SANTA ROSA,39500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02748,Potential Location,0.850000024,1,15754.808251875,0,0.00154547217288186,0.00309094434576373,0.00309094434576373,0.0242123973751492,6436.72365874351,,0,0.319397582395585,0.0319397582395585,3.31375627820568,52207.5947565774,15754.808251875,50775.3394609524,,N,3,58,58005100 = .008|58010000 = 9.306,AVALON BLVD|US-90|WORLEY BLVD,44000,35000,21500,IS|R|2|D,Y,10,0.103031494677163,On-System / On-System,58010000,9.304,9.315,2,SGNLBK-02748,2,9.306,US-90
68762,144285,72150000,7.344,7.364,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR  115,2,DUVAL,15200,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03262,Potential Location,0.850000024,1,11458.042365,0.00162080558630386,0.000607802094863948,0.00340369173123811,0.00532839836497394,0.0207463115046894,6815.39216677919,,7069350.24275756,0.302482842543958,0.0302482842543958,4.82446597762939,55278.9355601786,11458.042365,53846.6802645536,,N,2,72,72150000 = 7.354|72A07773 = 0,LEM TURNER RD,7250,14500,,IS|U|3|D,Y,10,0.0405201461408199,On-System / Off-System,72150000,7.254,7.373,3,SGNLBK-03262,1,7.354,LEM TURNER RD
68762,144285,72A07773,0,0.01,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR  115,2,DUVAL,15200,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03262,Potential Location,0.850000024,1,11458.042365,0.00162080558630386,0.000607802094863948,0.00340369173123811,0.00532839836497394,0.0207463115046894,6815.39216677919,,7069350.24275756,0.302482842543958,0.0302482842543958,4.82446597762939,55278.9355601786,11458.042365,53846.6802645536,,N,2,72,72150000 = 7.354|72A07773 = 0,LEM TURNER RD,7250,14500,,IS|U|3|D,Y,10,0.0405201461408199,On-System / Off-System,72150000,7.254,7.373,3,SGNLBK-03262,2,0,
42160,96902,36050000,6.852,6.872,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR  500,5,MARION,29500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03297,Potential Location,0.850000024,1,22916.08473,0.00176274786257999,0.000661030448467496,0.00370177051141798,0.00579503359823171,0.0225631726410239,7412.25109054019,,13000205.6541765,0.32897281985399,0.032897281985399,2.62348463073526,60119.9960857821,22916.08473,58687.7407901571,,N,5,36,36050000 = 6.862|36220000 = 8.593|36A01914 = .337|36A03298 = 0,5TH ST|SE ABSHIER BLVD|SE BABB RD|SE MAGNOLIA RD|US-301,30100,30500,13500,IS|U|3|D,Y,10,0.0440687036154923,On-System / On-System,36220000,8.571,8.65391724306173,4,SGNLBK-03297,1,6.862,5TH ST
42160,96902,36220000,8.583,8.603,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR  500,5,MARION,29500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03297,Potential Location,0.850000024,1,22916.08473,0.00176274786257999,0.000661030448467496,0.00370177051141798,0.00579503359823171,0.0225631726410239,7412.25109054019,,13000205.6541765,0.32897281985399,0.032897281985399,2.62348463073526,60119.9960857821,22916.08473,58687.7407901571,,N,5,36,36050000 = 6.862|36220000 = 8.593|36A01914 = .337|36A03298 = 0,5TH ST|SE ABSHIER BLVD|SE BABB RD|SE MAGNOLIA RD|US-301,30100,30500,13500,IS|U|3|D,Y,10,0.0440687036154923,On-System / On-System,36220000,8.571,8.65391724306173,4,SGNLBK-03297,2,8.593,SE ABSHIER BLVD
42160,96902,36A01914,0.327,0.34700000000000003,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR  500,5,MARION,29500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03297,Potential Location,0.850000024,1,22916.08473,0.00176274786257999,0.000661030448467496,0.00370177051141798,0.00579503359823171,0.0225631726410239,7412.25109054019,,13000205.6541765,0.32897281985399,0.032897281985399,2.62348463073526,60119.9960857821,22916.08473,58687.7407901571,,N,5,36,36050000 = 6.862|36220000 = 8.593|36A01914 = .337|36A03298 = 0,5TH ST|SE ABSHIER BLVD|SE BABB RD|SE MAGNOLIA RD|US-301,30100,30500,13500,IS|U|3|D,Y,10,0.0440687036154923,On-System / On-System,36220000,8.571,8.65391724306173,4,SGNLBK-03297,3,0.337,SE BABB RD
42160,96902,36A03298,0,0.01,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR  500,5,MARION,29500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03297,Potential Location,0.850000024,1,22916.08473,0.00176274786257999,0.000661030448467496,0.00370177051141798,0.00579503359823171,0.0225631726410239,7412.25109054019,,13000205.6541765,0.32897281985399,0.032897281985399,2.62348463073526,60119.9960857821,22916.08473,58687.7407901571,,N,5,36,36050000 = 6.862|36220000 = 8.593|36A01914 = .337|36A03298 = 0,5TH ST|SE ABSHIER BLVD|SE BABB RD|SE MAGNOLIA RD|US-301,30100,30500,13500,IS|U|3|D,Y,10,0.0440687036154923,On-System / On-System,36220000,8.571,8.65391724306173,4,SGNLBK-03297,4,0,SE MAGNOLIA RD
